program_code_3digit,formula,bac_type
391,FG+(M+Ge)/2,Economie et Gestion
394,FG+M,Informatique
394,FG+M,Mathematiques
394,FG+M,Sciences Experimentales
394,FG+M,Sciences Techniques
394,FG+(M+Ge)/2,Economie et Gestion
396,FG+M,Informatique
396,FG+M,Mathematiques
396,FG+M,Sciences Experimentales
396,FG+M,Sciences Techniques
396,FG+(M+Ge)/2,Economie et Gestion
422,FG+(M+SP)/2,Informatique
422,FG+(M+SP)/2,Mathematiques
422,FG+(M+SP)/2,Sciences Experimentales
440,FG+(F+Ang+EP)/3,Informatique
440,FG+(F+Ang+EP)/3,Lettres
440,FG+(F+Ang+EP)/3,Mathematiques
440,FG+(F+Ang+EP)/3,Sciences Experimentales
440,FG+(F+Ang+EP)/3,Sciences Techniques
440,FG+(F+Ang+EP)/3,Sport
440,FG+(F+Ang+EP)/3,Economie et Gestion
443,FG+PH,Informatique
443,FG+PH,Lettres
443,FG+PH,Mathematiques
443,FG+PH,Sciences Experimentales
443,FG+PH,Sciences Techniques
443,FG+PH,Sport
443,FG+PH,Economie et Gestion
450,FG+EP,Informatique
450,FG+EP,Lettres
450,FG+EP,Mathematiques
450,FG+EP,Sciences Experimentales
450,FG+EP,Sciences Techniques
450,FG+SB,Sport
450,FG+EP,Economie et Gestion
452,FG+(F+Ang)/2,Informatique
452,FG+(F+Ang)/2,Lettres
452,FG+(F+Ang)/2,Mathematiques
452,FG+(F+Ang)/2,Sciences Experimentales
452,FG+(F+Ang)/2,Sciences Techniques
452,FG+(F+Ang)/2,Sport
452,FG+(F+Ang)/2,Economie et Gestion
453,FG+(F+Ang)/2,Informatique
453,FG+(F+Ang)/2,Lettres
453,FG+(F+Ang)/2,Mathematiques
453,FG+(F+Ang)/2,Sciences Experimentales
453,FG+(F+Ang)/2,Sciences Techniques
453,FG+(F+Ang)/2,Sport
453,FG+(F+Ang)/2,Economie et Gestion
470,FG+PH,Informatique
470,FG+PH,Lettres
470,FG+PH,Mathematiques
470,FG+PH,Sciences Experimentales
470,FG+PH,Sciences Techniques
470,FG+PH,Sport
470,FG+PH,Economie et Gestion
473,FG+(F+Ang+PH)/3,Informatique
473,FG+(F+Ang+PH)/3,Lettres
473,FG+(F+Ang+PH)/3,Mathematiques
473,FG+(F+Ang+PH)/3,Sciences Experimentales
473,FG+(F+Ang+PH)/3,Sciences Techniques
473,FG+(F+Ang+PH)/3,Sport
473,FG+(F+Ang+PH)/3,Economie et Gestion
477,FG+(A+F)/2,Informatique
477,FG+(A+F)/2,Lettres
477,FG+(A+F)/2,Mathematiques
477,FG+(A+F)/2,Sciences Experimentales
477,FG+(A+F)/2,Sciences Techniques
477,FG+(A+F)/2,Economie et Gestion
501,FG+(M+SP)/2,Mathematiques
501,FG+(M+SP)/2,Sciences Experimentales
501,FG+(M+SP)/2,Sciences Techniques
502,FG+(M+SP)/2,Mathematiques
502,FG+(M+SP)/2,Sciences Experimentales
502,FG+(M+SP)/2,Sciences Techniques
503,FG+(M+SP)/2,Mathematiques
503,FG+(M+SP)/2,Sciences Experimentales
503,FG+(M+SP)/2,Sciences Techniques
504,FG+(M+SP)/2,Mathematiques
504,FG+(M+SP)/2,Sciences Experimentales
504,FG+(M+SP)/2,Sciences Techniques
505,FG+M,Informatique
505,FG+M,Mathematiques
505,FG+M,Sciences Experimentales
505,FG+M,Sciences Techniques
506,FG+(M+SP+TE)/3,Sciences Techniques
507,FG+M,Informatique
507,FG+M,Mathematiques
507,FG+M,Sciences Experimentales
507,FG+M,Sciences Techniques
509,FG+SVT,Mathematiques
509,FG+SVT,Sciences Experimentales
510,FG+SVT,Mathematiques
510,FG+SVT,Sciences Experimentales
510,FG+SP,Sciences Techniques
512,FG+SVT,Mathematiques
512,FG+SVT,Sciences Experimentales
513,FG+SVT,Mathematiques
513,FG+SVT,Sciences Experimentales
514,FG+(M+SP)/2,Mathematiques
514,FG+(M+SP)/2,Sciences Experimentales
514,FG+(M+SP)/2,Sciences Techniques
515,FG+(M+SP)/2,Informatique
515,FG+(M+SP+SVT)/3,Mathematiques
515,FG+(M+SP+SVT)/3,Sciences Experimentales
515,FG+(M+SP)/2,Sciences Techniques
516,FG+(M+SP)/2,Informatique
516,FG+(M+SP+SVT)/3,Mathematiques
516,FG+(M+SP+SVT)/3,Sciences Experimentales
516,FG+(M+SP)/2,Sciences Techniques
517,FG+(M+SP+SVT)/3,Mathematiques
517,FG+(M+SP+SVT)/3,Sciences Experimentales
518,FG+(M+SP+Algo)/3,Informatique
518,FG+(M+SP+Info)/3,Mathematiques
518,FG+(M+SP+Info)/3,Sciences Experimentales
518,FG+(M+SP+Info)/3,Sciences Techniques
519,FG+(M+SP+Algo)/3,Informatique
519,FG+(M+SP+Info)/3,Mathematiques
519,FG+(M+SP+Info)/3,Sciences Experimentales
519,FG+(M+SP+Info)/3,Sciences Techniques
520,FG+(M+SP+Algo)/3,Informatique
520,FG+(M+SP+Info)/3,Mathematiques
520,FG+(M+SP+Info)/3,Sciences Experimentales
520,FG+(M+SP+Info)/3,Sciences Techniques
521,FG+(M+SP+SVT)/3,Mathematiques
521,FG+(M+SP+SVT)/3,Sciences Experimentales
522,FG+(M+SP)/2,Informatique
522,FG+(M+SP)/2,Mathematiques
522,FG+(M+SP)/2,Sciences Experimentales
523,FG+(M+Algo)/2,Informatique
